PLMN,SYSTEM,XCI,xNBID,LOCAL_CID,LAC/TAC,PCI/PSC/BSIC,ARFCN,BAND,RSSI,RSRP/RSCP,RSRQ/ECIO,SNR,CQI,TA,DISTANCE,DELTA_AZI,LAT,LON,ALTITUDE(m),SPEED,GPS_ACCURACY,UL,DL,BANDWIDTH,BANDWIDTHS,CA,NR_STATE,NARFCN,NR_BAND,NR_PCI,NR_SS_RSRP,NR_SS_RSRQ,NR_SS_SINR,NR_CSI_RSRP,NR_CSI_RSRQ,NR_CSI_SINR,CLF_LABEL,CLF_LOC,CLF_DESC,DATE,TIME,ROAMING
50502,4,20882737,81573,49,52009,15,9260,700 B28,-99,-97,-6,17,11,7.0,,,-33.863856,151.210826,36.0,4,9,0,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7535532407407407,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-95,-98,-6,20,10,7.0,,,-33.863882,151.210778,36.0,3,10,2,36,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7536226851851852,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-101,-94,-6,17,8,7.0,,,-33.863893,151.210722,36.0,4,11,1,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7536805555555556,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-101,-101,-7,17,11,7.0,,,-33.863925,151.210681,36.0,4,13,0,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7537268518518518,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-99,-103,-8,17,6,7.0,,,-33.863898,151.210634,36.0,4,9,0,35,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7538541666666667,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-99,-92,-6,9,7,7.0,,,-33.863857,151.210609,36.0,4,9,1,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7538888888888889,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-99,-98,-8,12,8,7.0,,,-33.863813,151.210587,36.0,4,9,1,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7539351851851852,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-101,-101,-9,6,11,7.0,,,-33.863773,151.210554,36.0,4,10,95,112,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7539930555555555,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-105,-102,-10,9,9,6.0,,,-33.863802,151.210564,32.0,1,8,0,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7545023148148148,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-99,-97,-6,9,15,6.0,,,-33.863843,151.210591,32.0,4,10,0,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7545949074074074,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-109,-98,-5,12,7,6.0,,,-33.863891,151.210607,32.0,4,14,0,35,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7546412037037037,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-101,-107,-6,-2,7,6.0,,,-33.863935,151.210597,32.0,4,14,0,35,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7546875,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-97,-94,-6,19,12,6.0,,,-33.863966,151.210644,32.0,4,12,0,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7547106481481481,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-97,-96,-6,23,14,6.0,,,-33.863986,151.210695,32.0,4,11,19,799,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7547569444444444,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-99,-101,-6,21,13,6.0,,,-33.864005,151.210751,32.0,5,12,0,0,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7548148148148148,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-99,-98,-6,12,13,6.0,,,-33.86398,151.210804,32.0,4,14,0,0,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7548611111111111,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-103,-98,-7,-4,14,6.0,,,-33.863931,151.210791,32.0,4,13,0,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7548842592592593,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-89,-99,-6,14,8,6.0,,,-33.863887,151.210808,32.0,4,12,6,124,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7549421296296296,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-87,-86,-7,12,9,6.0,,,-33.863841,151.210798,32.0,2,7,0,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7552662037037037,HOME
